#time 	S+S- 	 norm 
0.000000 	 1.000000e+00 	 0.000000e+00 
0.100000 	 9.508278e-01 	 -8.881784e-16 
0.200000 	 9.040735e-01 	 -5.684342e-14 
0.300000 	 8.596182e-01 	 -1.050271e-13 
0.400000 	 8.173489e-01 	 -1.447731e-13 
0.500000 	 7.771580e-01 	 -1.656453e-13 
0.600000 	 7.389435e-01 	 -1.714184e-13 
0.700000 	 7.026080e-01 	 -1.660894e-13 
0.800000 	 6.680592e-01 	 -1.811884e-13 
0.900000 	 6.352093e-01 	 -2.000622e-13 
1.000000 	 6.039746e-01 	 -2.415845e-13 
1.100000 	 5.742759e-01 	 -2.284839e-13 
1.200000 	 5.460375e-01 	 -2.491340e-13 
1.300000 	 5.191876e-01 	 -3.055334e-13 
1.400000 	 4.936580e-01 	 -3.252953e-13 
1.500000 	 4.693837e-01 	 -3.395062e-13 
1.600000 	 4.463031e-01 	 -3.406164e-13 
1.700000 	 4.243574e-01 	 -4.019007e-13 
1.800000 	 4.034908e-01 	 -4.198863e-13 
1.900000 	 3.836503e-01 	 -4.320988e-13 
2.000000 	 3.647854e-01 	 -4.536371e-13 
2.100000 	 3.468481e-01 	 -4.982681e-13 
2.200000 	 3.297928e-01 	 -5.051515e-13 
2.300000 	 3.135761e-01 	 -5.169198e-13 
2.400000 	 2.981569e-01 	 -5.420109e-13 
2.500000 	 2.834959e-01 	 -5.235812e-13 
2.600000 	 2.695558e-01 	 -5.377920e-13 
2.700000 	 2.563011e-01 	 -5.364598e-13 
2.800000 	 2.436982e-01 	 -5.295764e-13 
2.900000 	 2.317150e-01 	 -4.924949e-13 
3.000000 	 2.203211e-01 	 -4.931611e-13 
3.100000 	 2.094874e-01 	 -4.756195e-13 
3.200000 	 1.991865e-01 	 -4.762857e-13 
3.300000 	 1.893920e-01 	 -4.736211e-13 
3.400000 	 1.800792e-01 	 -4.651834e-13 
3.500000 	 1.712243e-01 	 -4.722889e-13 
3.600000 	 1.628048e-01 	 -4.800604e-13 
3.700000 	 1.547994e-01 	 -4.558576e-13 
3.800000 	 1.471875e-01 	 -4.367617e-13 
3.900000 	 1.399500e-01 	 -4.685141e-13 
4.000000 	 1.330684e-01 	 -4.680700e-13 
4.100000 	 1.265251e-01 	 -4.640732e-13 
4.200000 	 1.203036e-01 	 -4.800604e-13 
4.300000 	 1.143880e-01 	 -4.680700e-13 
4.400000 	 1.087633e-01 	 -4.785061e-13 
4.500000 	 1.034151e-01 	 -4.900524e-13 
4.600000 	 9.832999e-02 	 -4.769518e-13 
4.700000 	 9.349489e-02 	 -4.849454e-13 
4.800000 	 8.889754e-02 	 -4.820588e-13 
4.900000 	 8.452625e-02 	 -4.738432e-13 
5.000000 	 8.036991e-02 	 -5.020429e-13 
5.100000 	 7.641795e-02 	 -4.889422e-13 
5.200000 	 7.266031e-02 	 -4.887202e-13 
5.300000 	 6.908744e-02 	 -4.896084e-13 
5.400000 	 6.569026e-02 	 -4.858336e-13 
5.500000 	 6.246012e-02 	 -4.836131e-13 
5.600000 	 5.938882e-02 	 -4.729550e-13 
5.700000 	 5.646854e-02 	 -4.458656e-13 
5.800000 	 5.369186e-02 	 -4.425349e-13 
5.900000 	 5.105171e-02 	 -4.318768e-13 
6.000000 	 4.854139e-02 	 -4.320988e-13 
6.100000 	 4.615450e-02 	 -4.600764e-13 
6.200000 	 4.388498e-02 	 -4.420908e-13 
6.300000 	 4.172706e-02 	 -4.443113e-13 
6.400000 	 3.967525e-02 	 -3.999023e-13 
6.500000 	 3.772433e-02 	 -3.606004e-13 
6.600000 	 3.586934e-02 	 -4.247713e-13 
6.700000 	 3.410557e-02 	 -4.074519e-13 
6.800000 	 3.242852e-02 	 -4.054534e-13 
6.900000 	 3.083394e-02 	 -4.118927e-13 
7.000000 	 2.931777e-02 	 -4.394263e-13 
7.100000 	 2.787615e-02 	 -4.174439e-13 
7.200000 	 2.650542e-02 	 -4.110046e-13 
7.300000 	 2.520209e-02 	 -4.107825e-13 
7.400000 	 2.396284e-02 	 -4.156675e-13 
7.500000 	 2.278454e-02 	 -4.409806e-13 
7.600000 	 2.166417e-02 	 -4.789502e-13 
7.700000 	 2.059890e-02 	 -4.440892e-13 
7.800000 	 1.958600e-02 	 -4.436451e-13 
7.900000 	 1.862292e-02 	 -4.152234e-13 
8.000000 	 1.770719e-02 	 -4.196643e-13 
8.100000 	 1.683649e-02 	 -4.156675e-13 
8.200000 	 1.600860e-02 	 -4.267697e-13 
8.300000 	 1.522142e-02 	 -4.234391e-13 
8.400000 	 1.447295e-02 	 -4.145573e-13 
8.500000 	 1.376128e-02 	 -4.105605e-13 
8.600000 	 1.308461e-02 	 -4.132250e-13 
8.700000 	 1.244121e-02 	 -4.003464e-13 
8.800000 	 1.182945e-02 	 -3.979039e-13 
8.900000 	 1.124777e-02 	 -4.030110e-13 
9.000000 	 1.069469e-02 	 -3.950174e-13 
9.100000 	 1.016881e-02 	 -4.201084e-13 
9.200000 	 9.668788e-03 	 -4.085621e-13 
9.300000 	 9.193352e-03 	 -4.067857e-13 
9.400000 	 8.741295e-03 	 -4.181100e-13 
9.500000 	 8.311466e-03 	 -4.083400e-13 
9.600000 	 7.902773e-03 	 -4.329870e-13 
