#time 	S+S- 	S-S+ 	 S+S- + S-S+ 	 fulltrace 	 singletensortrace 	 purity 
0.100000 	 9.742774e-01 	 2.572255e-02 	 1.000000e+00 	 1.000000e+00 	 9.843192e-01 	 1.000000e+00 
0.200000 	 9.303106e-01 	 6.968940e-02 	 1.000000e+00 	 1.000000e+00 	 9.697565e-01 	 1.000000e+00 
0.300000 	 8.702749e-01 	 1.297251e-01 	 1.000000e+00 	 1.000000e+00 	 9.568212e-01 	 1.000000e+00 
0.400000 	 7.969306e-01 	 2.030694e-01 	 1.000000e+00 	 1.000000e+00 	 9.458762e-01 	 1.000000e+00 
0.500000 	 7.135001e-01 	 2.864999e-01 	 1.000000e+00 	 1.000000e+00 	 9.371076e-01 	 1.000000e+00 
0.600000 	 6.235286e-01 	 3.764714e-01 	 1.000000e+00 	 1.000000e+00 	 9.305204e-01 	 1.000000e+00 
0.700000 	 5.307362e-01 	 4.692638e-01 	 1.000000e+00 	 1.000000e+00 	 9.259581e-01 	 1.000000e+00 
0.800000 	 4.388668e-01 	 5.611332e-01 	 1.000000e+00 	 1.000000e+00 	 9.231436e-01 	 1.000000e+00 
0.900000 	 3.515385e-01 	 6.484615e-01 	 1.000000e+00 	 1.000000e+00 	 9.217312e-01 	 1.000000e+00 
1.000000 	 2.721035e-01 	 7.278965e-01 	 1.000000e+00 	 1.000000e+00 	 9.213593e-01 	 1.000000e+00 
1.100000 	 2.035219e-01 	 7.964781e-01 	 1.000000e+00 	 1.000000e+00 	 9.216956e-01 	 1.000000e+00 
1.200000 	 1.482533e-01 	 8.517467e-01 	 1.000000e+00 	 1.000000e+00 	 9.224675e-01 	 1.000000e+00 
1.300000 	 1.081712e-01 	 8.918288e-01 	 1.000000e+00 	 1.000000e+00 	 9.234750e-01 	 1.000000e+00 
1.400000 	 8.450323e-02 	 9.154968e-01 	 1.000000e+00 	 1.000000e+00 	 9.245873e-01 	 1.000000e+00 
1.500000 	 7.779728e-02 	 9.222027e-01 	 1.000000e+00 	 1.000000e+00 	 9.257263e-01 	 1.000000e+00 
1.600000 	 8.791619e-02 	 9.120838e-01 	 1.000000e+00 	 1.000000e+00 	 9.268410e-01 	 1.000000e+00 
1.700000 	 1.140594e-01 	 8.859406e-01 	 1.000000e+00 	 1.000000e+00 	 9.278800e-01 	 1.000000e+00 
1.800000 	 1.548105e-01 	 8.451895e-01 	 1.000000e+00 	 1.000000e+00 	 9.287672e-01 	 1.000000e+00 
1.900000 	 2.082079e-01 	 7.917921e-01 	 1.000000e+00 	 1.000000e+00 	 9.293856e-01 	 1.000000e+00 
2.000000 	 2.718354e-01 	 7.281646e-01 	 1.000000e+00 	 1.000000e+00 	 9.295717e-01 	 1.000000e+00 
2.100000 	 3.429290e-01 	 6.570710e-01 	 1.000000e+00 	 1.000000e+00 	 9.291225e-01 	 1.000000e+00 
2.200000 	 4.184945e-01 	 5.815055e-01 	 1.000000e+00 	 1.000000e+00 	 9.278132e-01 	 1.000000e+00 
2.300000 	 4.954315e-01 	 5.045685e-01 	 1.000000e+00 	 1.000000e+00 	 9.254216e-01 	 1.000000e+00 
2.400000 	 5.706591e-01 	 4.293409e-01 	 1.000000e+00 	 1.000000e+00 	 9.217579e-01 	 1.000000e+00 
2.500000 	 6.412371e-01 	 3.587629e-01 	 1.000000e+00 	 1.000000e+00 	 9.166921e-01 	 1.000000e+00 
2.600000 	 7.044795e-01 	 2.955205e-01 	 1.000000e+00 	 1.000000e+00 	 9.101784e-01 	 1.000000e+00 
2.700000 	 7.580547e-01 	 2.419453e-01 	 1.000000e+00 	 1.000000e+00 	 9.022712e-01 	 1.000000e+00 
2.800000 	 8.000695e-01 	 1.999305e-01 	 1.000000e+00 	 1.000000e+00 	 8.931308e-01 	 1.000000e+00 
2.900000 	 8.291338e-01 	 1.708662e-01 	 1.000000e+00 	 1.000000e+00 	 8.830194e-01 	 1.000000e+00 
3.000000 	 8.444035e-01 	 1.555965e-01 	 1.000000e+00 	 1.000000e+00 	 8.722847e-01 	 1.000000e+00 
3.100000 	 8.456012e-01 	 1.543988e-01 	 1.000000e+00 	 1.000000e+00 	 8.613341e-01 	 1.000000e+00 
3.200000 	 8.330137e-01 	 1.669863e-01 	 1.000000e+00 	 1.000000e+00 	 8.506013e-01 	 1.000000e+00 
3.300000 	 8.074672e-01 	 1.925328e-01 	 1.000000e+00 	 1.000000e+00 	 8.405084e-01 	 1.000000e+00 
3.400000 	 7.702817e-01 	 2.297183e-01 	 1.000000e+00 	 1.000000e+00 	 8.314282e-01 	 1.000000e+00 
3.500000 	 7.232069e-01 	 2.767931e-01 	 1.000000e+00 	 1.000000e+00 	 8.236518e-01 	 1.000000e+00 
