#time 	S+S- 	 norm 
# 2019_09_25_13_39_35 
0.0000000000 	 0.0000000000 	          0 
0.5000000000 	 0.0006165812 	          1 
1.0000000000 	 0.0024401848 	          1 
1.5000000000 	 0.0054665938 	          1 
2.0000000000 	 0.0096885314 	          1 
2.5000000000 	 0.0150954242 	          1 
3.0000000000 	 0.0216739082 	          1 
3.5000000000 	 0.0294077281 	          1 
4.0000000000 	 0.0382777794 	          1 
4.5000000000 	 0.0482621552 	          1 
5.0000000000 	 0.0593362008 	          1 
5.5000000000 	 0.0714725741 	          1 
6.0000000000 	 0.0846413137 	          1 
6.5000000000 	 0.0988099123 	          1 
7.0000000000 	 0.1139433972 	          1 
7.5000000000 	 0.1300044165 	          1 
8.0000000000 	 0.1469533317 	          1 
8.5000000000 	 0.1647483149 	          1 
9.0000000000 	 0.1833454524 	          1 
9.5000000000 	 0.2026988531 	          1 
10.0000000000 	 0.2227607616 	          1 
10.5000000000 	 0.2434816760 	          1 
11.0000000000 	 0.2648104704 	          1 
11.5000000000 	 0.2866945205 	          1 
12.0000000000 	 0.3090798338 	          1 
12.5000000000 	 0.3319111827 	          1 
13.0000000000 	 0.3551322409 	          1 
13.5000000000 	 0.3786857221 	          1 
14.0000000000 	 0.4025135216 	          1 
14.5000000000 	 0.4265568594 	          1 
15.0000000000 	 0.4507564254 	          1 
15.5000000000 	 0.4750525254 	          1 
16.0000000000 	 0.4993852289 	          1 
16.5000000000 	 0.5236945164 	          1 
17.0000000000 	 0.5479204275 	          1 
17.5000000000 	 0.5720032092 	          1 
18.0000000000 	 0.5958834630 	          1 
18.5000000000 	 0.6195022912 	          1 
19.0000000000 	 0.6428014425 	          1 
19.5000000000 	 0.6657234556 	          1 
20.0000000000 	 0.6882118009 	          1 
20.5000000000 	 0.7102110196 	          1 
21.0000000000 	 0.7316668611 	          1 
21.5000000000 	 0.7525264161 	          1 
22.0000000000 	 0.7727382477 	          1 
22.5000000000 	 0.7922525177 	          1 
23.0000000000 	 0.8110211097 	          1 
23.5000000000 	 0.8289977480 	          1 
24.0000000000 	 0.8461381113 	          1 
24.5000000000 	 0.8623999421 	          1 
25.0000000000 	 0.8777431510 	          1 
25.5000000000 	 0.8921299155 	          1 
26.0000000000 	 0.9055247729 	          1 
26.5000000000 	 0.9178947083 	          1 
27.0000000000 	 0.9292092355 	          1 
27.5000000000 	 0.9394404724 	          1 
28.0000000000 	 0.9485632096 	          1 
28.5000000000 	 0.9565549724 	          1 
29.0000000000 	 0.9633960765 	          1 
29.5000000000 	 0.9690696761 	          1 
30.0000000000 	 0.9735618056 	          1 
30.5000000000 	 0.9768614139 	          1 
31.0000000000 	 0.9789603918 	          1 
31.5000000000 	 0.9798535916 	          1 
32.0000000000 	 0.9795388399 	          1 
32.5000000000 	 0.9780169429 	          1 
33.0000000000 	 0.9752916842 	          1 
33.5000000000 	 0.9713698156 	          1 
34.0000000000 	 0.9662610402 	          1 
34.5000000000 	 0.9599779886 	          1 
35.0000000000 	 0.9525361873 	          1 
35.5000000000 	 0.9439540207 	          1 
36.0000000000 	 0.9342526857 	          1 
36.5000000000 	 0.9234561388 	          1 
37.0000000000 	 0.9115910378 	          1 
37.5000000000 	 0.8986866751 	          1 
38.0000000000 	 0.8847749061 	          1 
38.5000000000 	 0.8698900702 	          1 
39.0000000000 	 0.8540689059 	          1 
39.5000000000 	 0.8373504605 	          1 
40.0000000000 	 0.8197759937 	          1 
40.5000000000 	 0.8013888752 	          1 
41.0000000000 	 0.7822344785 	          1 
41.5000000000 	 0.7623600684 	          1 
42.0000000000 	 0.7418146844 	          1 
42.5000000000 	 0.7206490199 	          1 
43.0000000000 	 0.6989152971 	          1 
43.5000000000 	 0.6766671379 	          1 
44.0000000000 	 0.6539594318 	          1 
44.5000000000 	 0.6308482006 	          1 
45.0000000000 	 0.6073904600 	          1 
45.5000000000 	 0.5836440788 	          1 
46.0000000000 	 0.5596676365 	          1 
46.5000000000 	 0.5355202786 	          1 
47.0000000000 	 0.5112615708 	          1 
47.5000000000 	 0.4869513517 	          1 
48.0000000000 	 0.4626495857 	          1 
48.5000000000 	 0.4384162150 	          1 
49.0000000000 	 0.4143110112 	          1 
49.5000000000 	 0.3903934287 	          1 
# end of calculation 2019_09_25_13_39_35 
# time difference 00_00_00_00_00_00 
